,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ЖК,Novatoria 37491,Элементс (ELEMENTS) 33985,АкадемГородок 37348,Зелёный бульвар 31111,Зелёный бульвар 28631,Солярис 40263,Невельской 11897,Четыре горизонта 37838,"Нерчинская, 10 34535",Лидер 41415,Лидер 41416,Лидер 41417,Шилкинский 42442,Антарес 34713,Айвазовский 39803,Айвазовский 39804,Видный 35879,Каштановый двор 43288,Каштановый двор 43289,Каштановый двор 43290,Каштановый двор 43291,Восход 40376,Восход 40377,Восход 40378,Садгород-357,Садгород-295,"Давыдова, 60 32132","Давыдова, 60 32133","Давыдова, 60 32134","50 лет Октября, 1 38543","2-я Поселковая, 3 41041",Формат 43702,Формат 44614,Формат 41550,Формат 41119,"10-я Рабочая, 80 36321",Босфорский парк 42348,Босфорский парк 42347,Времена года,Горизонт 39074,Адмиралтейский 37918,Адмиралтейский 43196,"Садгородская, 23 41482",Эко Сити 36674,АРКАДА-АРТ 8652,Акватория 42343,Восточный ЛУЧ-5,Восточный ЛУЧ-6,Восточный ЛУЧ-7,Восточный ЛУЧ-8,Восточный ЛУЧ-9,Восточный ЛУЧ-10,Новые горизонты,"Басаргина, д. 2","Басаргина, д. 2, б/с 2 10 эт","Басаргина, д. 2, б/с 2 18 эт","Борисенко, д. 100, лит. Е","Изумрудный, 1оч",Атлантикс Сити 26212,Журавли 44779,Журавли 44780,MORE 44127,Южный 37898,Южный 37899,Южный 37900,Atmosfera 27414,Atmosfera 27416,Чайка 3062,Акватория 42344,Кленовый 38049,Эко-хаус Пастораль 44416,Зелёный бульвар 42445,Зелёный бульвар 42446,Мед 40107,Сады Маковского 44951,Сады Маковского 44952,Нобель 44228,Смородина 39333,Седанка Хиллс 43467,Седанка Хиллс 43468,Седанка Хиллс 43469,Prime Park 44430,Prime Park 44431,Costa Azzurra 44670,Costa Azzurra 44671,Panorama 43671,Panorama 43670,Футурист 44108,Футурист 44109,Футурист 44110,Молодежный 40104,Седанка Хиллс 43850,Седанка Хиллс 43470,Седанка Хиллс 43471,Изумрудный 13283,Изумрудный 13284,Изумрудный 13285,Изумрудный 37526,Изумрудный 37527,Брусника 43103,Брусника 43102,Брусника 43107,Брусника 43106,Брусника 43108,Брусника 43105,Фрегат 2 36573,Фрегат 2 36572,Фрегат 2 36571,Фрегат 2 36575,Лесная 32173,Лесная 32174,Лесная 32175,"Борисенко, 100 38128","Борисенко, 100 38129","Снеговая Падь, 1 41829",Восточный луч 37333,Прибрежный 44170,Долина 42157
Количество квартир,364,88,450,325,209,272,255,289,240,220,220,220,129,156,125,126,598,249,249,249,249,30,47,30,32,68,100,89,98,197,278,92,108,68,66,120,191,264,129,340,308,319,28,230,336,311,312,312,312,312,312,312,103,135,108,135,136,109,176,42,100,351,322,252,112,436,436,316,311,80,48,325,209,128,514,257,78,200,66,47,36,242,460,108,135,175,204,142,141,259,416,93,51,67,351,351,348,219,219,36,21,24,24,24,36,264,264,264,275,145,143,343,240,230,200,312,352,171
Общая площадь квартир,"24 247,00","6 024,00","14 572,00","10 170,00","12 043,00","17 862,00","15 581,00","18 658,00","13 085,00","11 831,00","11 831,00","11 831,00","8 208,00",9 151,"6 122,00","6 083,00","29 037,00","13 035,00","13 035,00","13 035,00","13 035,00","1 983,00","2 990,00","1 983,00","1 927,00","3 181,00","4 975,00","4 577,00","4 966,00","11 087,00",12 341,5 767,6 633,5 831,5 652,8 002,7 829,10 776,7 483,15 227,12 068,12 511,1 635,14 981,23 344,24 798,12 549,12 549,12 549,12 549,12 549,12 549,12 068,6 381,7 500,10 250,5 075,5 662,25 046,"2 386,00","4 546,00","20 599,00",9247,"7 250,00","5 762,00","12 558,00","12 558,00","18 229,00","12 399,00","3 320,00","3 292,00","12 043,00","10 170,00","7 209,00","35 741,00","17 871,00","4 742,00","12 215,00","3 294,00","2 206,00","2 128,00","10 076,00","19 226,00","6 331,00","6 329,00","8 261,00","8 383,00","8 074,00","8 067,00","12 597,00","18 320,00","4 697,00","2 743,00","3 375,00","12 060,00","12 059,00","12 037,00","12 661,00","12 635,00","2 084,00","1 219,00","1 389,00","1 389,00","2 114,00","2 084,00","10 822,00","11 093,00","11 083,00","11 548,00","7 280,00","7 174,00","17 759,00","11 890,00","11 407,00","9 936,00","13 290,00","17 845,00","9 023,00"
Дата получения РС,21.09.2020,23.08.2019,09.10.2017,30.08.2021,30.08.2021,16.03.2021,19.01.2016,28.10.2020,08.02.2018,27.04.2021,27.04.2021,27.04.2021,20.08.2021,09.06.2018,30.03.2021,30.03.2021,29.12.2018,14.09.2021,14.09.2021,14.09.2021,14.09.2021,19.08.2020,19.08.2020,19.08.2020,18.10.2021,14.12.2021,19.11.2018,19.11.2018,19.11.2018,13.06.2018,18.05.2018,22.06.2021,22.06.2021,15.12.2020,19.08.2020,10.03.2020,20.08.2021,20.08.2021,03.03.2021,16.02.2021,03.06.2020,03.06.2020,01.07.2021,29.06.2018,29.04.2015,03.03.2021,26.06.2018,26.06.2018,26.06.2018,26.06.2018,26.06.2018,26.06.2018,03.03.2021,23.06.2021,23.06.2021,16.06.2021,13.07.2021,18.05.2018,01.03.2016,17.01.2022,17.01.2022,14.12.2021,27.06.2018,27.06.2018,27.06.2018,16.04.2018,16.04.2018,26.12.2016,03.03.2021,06.10.2020,06.12.2021,30.08.2021,30.08.2021,23.03.2021,18.10.2021,18.10.2021,20.09.2021,30.10.2020,11.10.2021,11.10.2021,11.10.2021,15.12.2021,15.12.2021,21.12.2021,18.01.2022,29.10.2021,29.10.2021,02.12.2021,02.12.2021,02.12.2021,25.03.2021,28.07.2021,10/11/2021,10/11/2021,6/9/2018,6/9/2018,6/9/2018,5/23/2018,5/23/2018,1/26/2021,1/26/2021,1/26/2021,1/26/2021,1/26/2021,1/26/2021,6/5/2018,6/5/2018,6/5/2018,10/21/2019,6/19/2019,6/19/2019,6/19/2019,9/30/2020,9/30/2020,7/5/2021,6/26/2018,11/29/2021,4/6/2021
Дата публикации ИНС,07.10.2020,15.11.2019,12.10.2020,06.09.2021,06.09.2021,26.05.2021,01.06.2017,24.11.2020,02.04.2018,11.05.2021,11.05.2021,11.05.2021,31.08.2021,08.07.2019,12.04.2021,12.04.2021,30.11.2019,19.10.2021,19.10.2021,19.10.2021,19.10.2021,16.04.2021,16.04.2021,16.04.2021,18.10.2021,14.12.2021,31.12.2018,31.12.2018,31.12.2018,06.04.2020,30.04.2021,05.07.2021,05.07.2021,25.12.2020,28.08.2020,10.07.2020,31.08.2021,31.08.2021,07.06.2021,15.03.2021,16.11.2020,16.11.2020,20.08.2021,20.03.2020,20.08.2015,18.05.2021,12.11.2020,12.11.2020,12.11.2020,12.11.2020,12.11.2020,12.11.2020,05.07.2021,05.07.2021,02.07.2021,02.07.2021,23.08.2021,27.10.2020,13.11.2018,08.02.2022,08.02.2022,12.01.2022,01.05.2020,01.05.2020,01.05.2020,01.10.2018,01.10.2018,01.07.2017,29.09.2021,20.10.2020,01.03.2022,16.09.2021,16.09.2021,01.04.2021,12.11.2021,12.11.2021,11.10.2021,01.03.2021,22.12.2021,22.12.2021,22.12.2021,18.12.2021,18.12.2021,27.12.2021,27.12.2021,22.11.2021,22.11.2021,30.12.2021,30.12.2021,30.12.2021,10.05.2021,09.08.2021,12/30/2021,12/30/2021,6/1/2019,6/1/2019,6/1/2019,9/1/2019,9/1/2019,1/27/2021,1/27/2021,1/27/2021,1/27/2021,1/27/2021,1/27/2021,3/1/2020,3/1/2020,3/1/2020,3/1/2020,6/19/2019,6/19/2019,6/19/2019,10/1/2020,10/1/2020,8/1/2021,12/1/2019,1/18/2022,4/6/2021
Подъездов в доме,3,1,1,1,1,1,2,10,1,1,1,1,1,1,2,2,2,1,1,1,1,2,3,2,2,2,2,2,2,1,1,5,5,6,6,1,1,1,6,2,1,1,1,1,3,1,1,1,1,1,1,1,2,1,2,2,2,1,2,2,5,4,1,1,1,1,1,2,1,1,2,1,1,1,2,1,3,5,3,2,3,1,3,2,1,1,1,2,2,1,1,3,2,3,1,1,1,1,1,3,2,2,2,3,3,1,1,1,1,3,3,7,1,1,2,1,2,1
Количество квартир на этаже,7,5,18,12,8,15,11,5,10,10,10,10,8,7,8,8,12,10,10,10,10,4,4,4,4,4,5,5,5,9,13,5,6,4,4,6,12,11,5,10,14,14,7,10,5,13,13,13,13,13,13,13,6,8,6,4,4,5,4,6,5,7,14,14,112,19,19,7,13,9,6,14,10,9,10,10,4,4,7,6,4,11,13,6,8,8,9,5,4,11,20,4,6,6,16,16,16,10,10,3,3,3,3,2,3,11,11,11,11,5,5,5,10,10,6,13,8,9
Количество этажей,23,23,29,26,25,18,23,7,25,24,26,26,21,25,11,11,28,26,26,26,26,5,5,5,5,5,10,9,10,25,24,5,5,5,5,25,18,26,4,22,25,25,4,28,28,26,26,26,26,26,26,26,10,18,10,18,18,24,24,5,5,16,25,19,15,24,24,27,26,11,4,26,25,20,30,30,9,10,4,4,4,26,19,11,18,25,25,17,17,25,24,10,4,4,24,25,24,24,24,5,5,5,5,5,5,27,27,27,27,10,10,10,24,24,19,26,25,20
Пассажирских лифтов в доме,6,2,3,1,2,4,2,10,5,1,1,1,2,2,1,1,6,2,2,2,2,0,0,0,0,0,2,2,2,1,2,0,0,0,0,3,2,3,0,6,2,2,0,2,3,2,3,3,3,3,3,3,0,1,0,2,2,3,2,2,5,8,2,3,2,4,4,4,2,1,0,2,1,1,4,2,3,5,3,2,2,4,6,2,1,2,3,2,2,2,6,3,2,3,3,3,3,3,3,0,0,0,0,0,0,2,2,2,2,3,3,7,1,1,4,3,6,2
Грузовых лифтов в доме,3,0,3,2,2,2,6,0,0,2,2,2,1,0,2,2,2,2,2,2,2,0,0,0,0,0,2,0,2,2,1,0,0,0,0,2,0,0,0,6,2,2,0,2,6,1,1,1,1,1,1,1,2,1,2,2,2,2,2,0,0,8,2,1,1,0,0,2,1,0,2,2,2,2,4,2,3,0,0,0,0,4,6,2,1,0,0,2,2,1,0,0,0,0,2,2,2,2,2,0,0,0,0,0,0,1,1,1,1,3,3,7,2,2,2,1,0,1
Инфраструктура: Продукты,50,50,20,29,29,50,50,13,50,23,23,23,50,50,29,29,50,50,50,50,50,48,48,48,8,8,50,50,50,1,50,3,3,3,3,50,50,50,12,50,32,32,5,42,50,50,39,39,39,39,39,39,29,29,29,29,29,50,50,10,10,50,50,50,50,50,50,13,50,50,13,36,38,50,10,10,50,11,9,9,9,50,50,50,50,50,50,50,50,50,50,26,9,9,48,50,50,50,50,14,14,12,13,13,13,50,50,50,50,50,50,50,50,50,31,32,10,50
